,ChlA,QA_PIXEL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST_B6,date,lat,lon,name,scene_id
0,10.25,5504,8679.0,8527.0,8406.0,7970.0,7519.0,8055.0,42102.0,2003-03-18,-89.7503,29.1335,Point_1,0_LT05_021040_20030319
1,15.56,5504,8759.0,8990.0,8409.0,7971.0,7717.0,7494.0,42106.0,2003-03-18,-89.7502,29.2393,Point_2,1_LT05_021040_20030319
2,4.24,5504,9496.0,10202.0,9387.0,8113.0,7716.0,7634.0,41498.0,2003-03-18,-89.753,29.0097,Point_3,2_LT05_021040_20030319
3,1.55,5504,8586.0,8669.0,8275.0,8110.0,7518.0,7493.0,41919.0,2003-03-18,-89.7511,28.7505,Point_4,3_LT05_021040_20030319
4,0.93,5504,8656.0,8513.0,8151.0,7964.0,7615.0,7632.0,42065.0,2003-03-18,-89.7517,28.6301,Point_5,4_LT05_021040_20030319
5,0.13,5504,8729.0,8295.0,7976.0,8024.0,7637.0,7645.0,42625.0,2003-03-20,-91.6167,28.1804,Point_1,0_LT05_023040_20030317
6,0.15,5504,9800.0,9486.0,9055.0,8887.0,8422.0,8204.0,42424.0,2003-03-20,-91.6145,27.9998,Point_6,5_LT05_023040_20030317
7,0.18,5504,8485.0,8209.0,8280.0,8025.0,7870.0,7610.0,41218.0,2003-03-22,-93.4181,28.2609,Point_3,2_LT05_024040_20030324
8,0.21,5504,9348.0,9096.0,8753.0,8579.0,8340.0,8279.0,39914.0,2003-03-22,-93.0687,28.3638,Point_4,3_LT05_024040_20030324
9,0.21,5504,9538.0,9218.0,8728.0,8560.0,8431.0,8281.0,39589.0,2003-03-22,-93.0836,28.6502,Point_5,4_LT05_024040_20030324
10,1.94,5504,8956.0,8864.0,8561.0,8527.0,8330.0,8146.0,40101.0,2003-03-25,-92.7514,29.2943,Point_3,2_LT05_024040_20030324
11,1.56,5504,8326.0,8370.0,8168.0,8115.0,7713.0,7626.0,41741.0,2003-03-25,-92.7478,29.5294,Point_4,3_LT05_024039_20030324
12,1.56,5504,7818.0,8096.0,7822.0,7955.0,7660.0,7739.0,41741.0,2003-03-25,-92.7478,29.5294,Point_4,3_LT05_024040_20030324
13,0.96,7440,9880.0,10213.0,10019.0,9853.0,9431.0,9202.0,42263.0,2003-06-12,-89.7498,28.7494,Point_1,0_LT05_022040_20030614
14,0.11,5504,9577.0,9108.0,8906.0,9049.0,8816.0,8577.0,41829.0,2003-06-13,-90.8315,28.2168,Point_2,1_LT05_022040_20030614
15,1.32,5504,9138.0,9124.0,8796.0,8827.0,8796.0,8577.0,42760.0,2003-06-13,-90.8323,28.5332,Point_3,2_LT05_022040_20030614
16,2.12,5504,9637.0,9707.0,9259.0,9103.0,8887.0,8577.0,40309.0,2003-06-13,-90.8347,28.8671,Point_5,4_LT05_022040_20030614
17,5.81,5504,9417.0,10002.0,9376.0,8960.0,8613.0,8319.0,41174.0,2003-06-13,-90.8258,28.9825,Point_6,5_LT05_022040_20030614
18,0.19,5762,9880.0,9575.0,9271.0,9113.0,8708.0,8711.0,39132.0,2003-06-17,-91.2535,28.2612,Point_1,0_LT05_022040_20030614
19,0.15,5442,13640.0,13539.0,13583.0,13236.0,12263.0,12130.0,44396.0,2003-06-19,-92.3846,28.1103,Point_1,0_LT05_023040_20030621
20,1.885886,5504,8154.0,8227.0,7680.0,7471.0,7243.0,7493.0,43785.0,2003-11-06,-89.7509,28.7494,Point_1,0_LT05_022040_20031105
21,1.591592,5504,8467.0,8352.0,7759.0,7594.0,7710.0,7659.0,43072.0,2003-11-06,-89.7496,29.2382,Point_2,1_LT05_022040_20031105
22,1.542593,5504,8361.0,8232.0,7835.0,7467.0,7482.0,7494.0,43327.0,2003-11-06,-89.751,29.0079,Point_3,2_LT05_022040_20031105
23,3.508516,5504,8262.0,8234.0,7840.0,7659.0,7363.0,7664.0,43755.0,2003-11-08,-89.9293,28.7199,Point_1,0_LT05_022040_20031105
24,6.123188,5504,8075.0,8240.0,7687.0,7660.0,7483.0,7495.0,43765.0,2003-11-08,-89.9998,28.8266,Point_2,1_LT05_022040_20031105
25,0.6985402,5504,7885.0,7848.0,7532.0,7289.0,7484.0,7666.0,43695.0,2003-11-08,-90.0314,28.9242,Point_3,2_LT05_022040_20031105
26,1.021608,5504,7991.0,8051.0,7534.0,7290.0,7364.0,7494.0,43704.0,2003-11-08,-90.0726,28.9889,Point_4,3_LT05_022040_20031105
27,1.164565,5504,7996.0,7855.0,7536.0,7291.0,7485.0,7323.0,43718.0,2003-11-08,-90.1035,29.019,Point_5,4_LT05_022040_20031105
28,0.9776842,5504,8002.0,8057.0,7537.0,7291.0,7243.0,7323.0,43706.0,2003-11-08,-90.141,29.0476,Point_6,5_LT05_022040_20031105
29,3.771772,5504,8810.0,9062.0,8018.0,7484.0,7487.0,7323.0,44099.0,2003-11-07,-90.4649,29.0202,Point_1,0_LT05_022040_20031105
